$	~[,SIF][,DOL][,SI]
↓	~*[,IZ]::[,ZV][,Z]
↔	~*[,ZEZ]::[,ZEZR]
↖	~*[,ZN]::[,ZB][,Z]
↗	~*[,ZP]::[,ZC][,Z]
↘	~*[,NZ]::[,ZW][,Z]
↙	~*[,PZ]::[,Z]
↚	~*[,ZX]
↛	~*[,XZ]
↜	~*[,ZS]
↝	~*[,SZ]
↞	~*[,ZZE]
↟	~*[,ZZI]
↠	~*[,EZZ]
↡	~*[,IZZ]
↢	~[,ZEZV][,ZEZ]
↣	~[,ZEZ]
↤	~*[,ZEI]
↥	~*[,ZIE]::[,ZLV][,ZL]
↦	~*[,IEZ]
↧	~[,TZ]
↨	~*[,ZIZ]
↩	~[,ZLR][,ZL]
↪	~*[,LZ]
↫	~*[,ZJ]
↬	~*[,JZ]
↭	~*[,ZSZ][,ZWZ]
↮	~*[,ZXZ]
↯	~*[,UZ]::[,NZV][,ZZR][,NZ][,ZZ]
∀	~*[,ALL]::[,A]
∃	~[,XXW][,E][,XX]
∅	~*[,SET]::[,OPS][,OP]
∆	~[,SN]
∈	~[,E]
∉	~[,EIS][,EPV][,EI][,EP]
∏	~*[,PRO]::[,ER]
∑	~*[,SUM]::[,E]
∓	~*[,EJ]
∕	~[,P]
√	~*[,TO][,VE]::[,V]
∝	~[,OF]
∞	~*[,VBD]::[,BC][,OOR][,B][,OO]
∟	~[,LW][,L]
∠	~*[,LL]::[,LF][,L][,V]
∣	~[,IV][,I]
∤	~*[,IP][,IPX]::[,XXL][,XX]
∥	~[,PP][,SS]
∧	~[,VC][,V][,[V][[V]
∨	~[,VB][,GGV][,V][,]V][]V]
∩	~*[,CAP][,HAT]::[,N]
∪	~*[,CUP]::[,UR][,U]
∫	~[,S]
∮	~*[,CON]::[,SOV][,SO]
∴	~*[,FU]::[,...V][...R][,...][...]
∵	~*[,...]::[,...R][,OBC][...V][,OB][,OE][...]
∶	~*[,RAT]::[,..S][,..][..]
∷	~[,FA]
∼	~[,S]
∽	~[,S]
≅	~[,SRS][,SR]
≈	~[,RS][,SS]
≌	~[,SRF][,SR]
≑	~[,.R.V][,.R.]
≒	~*[,.R.]
≠	~*[,PR][,QX][,RP][,RPX]::[,QC][,Q]
≡	~*[,SE]::[,SW][,S]
≤	~[,VEV][,LR][,VE][,VR]
≥	~[,LR][,VR]
≦	~*[,LR][,VR]::[,BRV][,BR]
≧	~*[,BR]::[,BF][,LRV][,VRV][,LR][,VR]
≮	~[,SI][,VI]
≯	~*[,DI]::[,VI]
⊕	~[,OJ]
⊙	~*[,O.]
⊥	~[,LEV][,LE]
⊿	~[,SNF][,SN]
⌒	~[,N]
①	~*[,OE]::[,E]
②	~*[,OR]::[,R]
③	~*[,OS]::[,S]
④	~*[,OF]::[,F]
⑤	~*[,OW]::[,W]
⑥	~*[,OL]::[,L]
⑦	~*[,OC]::[,C]
⑧	~*[,OB]::[,B]
⑨	~*[,OK]::[,K]
⑩	~*[,OEO][,OJ]::[,OEOF][,OEOR][,OEOS][,J]
⑪	~*[,OEE][,OJE]
⑫	~*[,OER][,OJR]
⑬	~*[,OES][,OJS]
⑭	~*[,OEF][,OJF]
⑮	~*[,OEW][,OJW]
⑯	~*[,OEL][,OJL]
⑰	~*[,OEC][,OJC]
⑱	~*[,OEB][,OJB]
⑲	~*[,OEK][,OJK]
⑳	~*[,ORJ][,ORO]
⑴	~*[,GE]::[,E]
⑵	~*[,GR]::[,R]
⑶	~*[,GS]::[,S]
⑷	~*[,GF]::[,F]
⑸	~*[,GW]::[,W]
⑹	~*[,GL]::[,L]
⑺	~*[,GC]::[,C]
⑻	~*[,GB]::[,B]
⑼	~*[,GK]::[,K]
⑽	~*[,GEO][,GJ]::[,J]
⑾	~*[,GEE][,GJE]
⑿	~*[,GER][,GJR]
⒀	~*[,GES][,GJS]
⒁	~*[,GEF][,GJF]
⒂	~*[,GEW][,GJW]
⒃	~*[,GEL][,GJL]
⒄	~*[,GEC][,GJC]
⒅	~*[,GEB][,GJB]
⒆	~*[,GEK][,GJK]
⒇	~*[,GRJ][,GRO]
⒈	~*[,E.]
⒉	~*[,R.]
⒊	~*[,S.]
⒋	~*[,F.]
⒌	~*[,W.]
⒍	~*[,L.]
⒎	~*[,C.]
⒏	~*[,B.]
⒐	~*[,K.]
⒑	~*[,EO.][,J.]
⒒	~*[,EE.][,JE.]
⒓	~*[,ER.][,JR.]
⒔	~*[,ES.][,JS.]
⒕	~*[,EF.][,JF.]
⒖	~*[,EW.][,JW.]
⒗	~*[,EL.][,JL.]
⒘	~*[,EC.][,JC.]
⒙	~*[,EB.][,JB.]
⒚	~*[,EK.][,JK.]
⒛	~*[,RJ.][,RO.]
⒜	~*[,GA]
⒝	~[,GBR][,GB]
⒞	~[,GCR][,GC]
⒟	~*[,GD]
⒠	~[,GE]
⒡	~[,GFR][,GF]
⒢	~[,GG]
⒣	~*[,GH]
⒤	~*[,GI]
⒥	~[,GJ]
⒦	~[,GKR][,GK]
⒧	~[,GLR][,GL]
⒨	~*[,GM]
⒩	~*[,GN]
⒪	~[,GOV][,GO]
⒫	~*[,GP]
⒬	~*[,GQ]
⒭	~[,GR]
⒮	~[,GSR][,GS]
⒯	~*[,GT]
⒰	~*[,GU]
⒱	~[,GVC][,GV]
⒲	~[,GWR][,GW]
⒳	~*[,GX]
⒴	~*[,GY]
⒵	~*[,GZ]
Ⓐ	~[,OAR][,OA]
Ⓑ	~[,OBW][,OB]
Ⓒ	~[,OCL][,OC]
Ⓓ	~*[,OD]
Ⓔ	~[,OE]
Ⓕ	~[,OFL][,OF]
Ⓖ	~*[,OG]
Ⓗ	~*[,OH]
Ⓘ	~*[,OI]
Ⓙ	~[,OJ]
Ⓚ	~[,OKW][,OK]
Ⓛ	~[,OL]
Ⓜ	~*[,OM]
Ⓝ	~*[,ON]
Ⓞ	~[,OOF][,OO]
Ⓟ	~[,OPV][,OP]
Ⓠ	~*[,OQ]
Ⓡ	~[,ORW][,OR]
Ⓢ	~[,OSW][,OS]
Ⓣ	~*[,OT]
Ⓤ	~[,OUR][,OU]
Ⓥ	~*[,OV]
Ⓦ	~[,OWW][,OW]
Ⓧ	~*[,OX]
Ⓨ	~*[,OY]
Ⓩ	~*[,OZ]
ⓐ	~[,OAS][,OA]
ⓑ	~[,OBL][,OB]
ⓒ	~[,OCC][,OC]
ⓓ	~[,ODV][,OD]
ⓔ	~[,OE]
ⓕ	~[,OFC][,OF]
ⓖ	~[,OGV][,OG]
ⓗ	~[,OHV][,OH]
ⓘ	~[,OIV][,OI]
ⓙ	~[,OJ]
ⓚ	~[,OKL][,OK]
ⓛ	~[,OLL][,OL]
ⓜ	~[,OMV][,OM]
ⓝ	~[,ONV][,ON]
ⓞ	~[,OOW][,OO]
ⓟ	~[,OPR][,OP]
ⓠ	~*[.OQ]
ⓡ	~[,ORL][,OR]
ⓢ	~[,OSL][,OS]
ⓣ	~[,OTV][,OT]
ⓤ	~[,OUS][,OU]
ⓥ	~[,OVV][,OV]
ⓦ	~[,OWL][,OW]
ⓧ	~[,OXV][,OX]
ⓨ	~[,OY]
ⓩ	~[,OZV][,OZ]
⓪	~*[,OO]
─	~*[EE,]::[,E][,EE]
━	~[,E][..]
│	~[,I]
┃	~[,I]
┄	~[,EEE][,...]
┅	~[,EEE][,...]
┆	~[,...]
┇	~[,...]
┈	~[,EEE][,...]
┉	~[,EEE][,...]
┊	~[,...]
┋	~[,...]
┕	~[,L]
┬	~[,TV][,T]
═	~[,RC][,R]
╡	~*[,RI]
╪	~[,QL][,Q]
╭	~[,QR][,Q]
╮	~[,QS][,Q]
╯	~[,QW][,Q]
╰	~[,QF][,Q]
╱	~[,P]
╳	~[,X]
▂	~[,FNB][,FN]
▃	~*[,EF]
▄	~[,EFV][,EF]
▅	~[,FNC][,FN]
▆	~[,FNL][,FN]
▇	~[,FNW][,FN]
█	~[,FNF][,FN]
▉	~[,EFB][,EF]
▊	~[,EFC][,EF]
▋	~[,EFL][,EF]
▌	~[,EFW][,EF]
▍	~[,EFF][,EF]
▎	~[,EFS][,EF]
▏	~[,EFR][,EF]
■	~[,FNV][,FN]
□	~*[,FN]::[,OOV][OO][,OO]
▲	~[,SNR][,SN]
△	~*[,SN]
▼	~[,SNS][,SN]
▽	~[,SNV][,SN]
◆	~[,FNS][,FN]
◇	~[,FNR][,FN]
○	~*[O]::[,O]
◎	~[,OOS][,OO]
●	~[,O]
◢	~[,SNK][,SN]
◣	~[,SNC][,SN]
◤	~[,SNB][,SN]
◥	~[,SNL][,SN]
☀	~[,BSR][,DBS][,DOS][,BS][,DB][,DO][,SUN]
☄	~*[,COM][,WD]::[,OS]
★	~*[,STA]::[,DSEV][,DSR][,STAB][,STAC][,STAF][,STAK][,STAL][,STAR][,STAS][,STAW][,DS][,DSE]
☆	~*[,DSE]::[,DSEB][,DSEC][,DSEF][,DSEK][,DSEL][,DSER][,DSES][,DSEW][,DSV][,STAV][,DS][,STA]
☉	~[,BSV][,DBR][,DOR][,SUNV][,BS][,DB][,DO][,SUN]
☎	~*[,UI]::[,TELV][,TEL]
☏	~[,UIV][,TEL][,UI]
☚	~*[,HJ]::[,PXS][,XIR][,PX][,XI]
☛	~*[,XO]::[,HJV][,PXF][,HJ][,PX]
☜	~[,HJR][,PXW][,XIS][,HJ][,PX][,XI]
☝	~[,FEV][,HJS][,PFV][,FE][,HJ][,PF]
☞	~[,HJF][,PXL][,XOV][,HJ][,PX][,XO]
☟	~[,FAV][,HJW][,PFR][,FA][,HJ][,PF]
☩	~[,CRO][,J][,JJ][,JND]
☮	~*[,HP][,PEA]::[,OSC][,OS]
☯	~*[,BB][,BY][,DT][,OBB][,ODU][,OSA][,OSB][,OS.][,OYY][,YIN][,YY]::[,OSAR]
☰	~*[,HEA]::[,BYV][,HEAF][,HEAL][,HEAR][,HEAS][,HEAW][,BY][,EEE]
☱	~*[,LAK][,REE]::[,BYR][,BY]
☲	~*[,ERE][,FIR]::[,BYS][,BY]
☳	~*[,RRE][,THU]::[,BYF][,BY]
☴	~*[,EER][,WIN]::[,BYW][,BY]
☵	~*[,RER][,WAT]::[,BYL][,BY]
☶	~*[,ERR][,MOU]::[,BYC][,BY]
☷	~*[,EAR][,RRR]::[,BYB][,BY]
☹	~*[,FAC][,OBN][,OOA][,OOD][,UAB][,UAO]::[,FACR][,UABR][,UAOR][,OU]
☺	~*[,OBU][,ZED][,ZGN][,ZU]::[,FACV][,UABV][,UAOV][,FAC][,UAB][,UAO]
☻	~[,OBUV][,ZEDV][,ZGNV][,ZUV][,FAC][,OBU][,UAB][,UAO][,ZED][,ZGN][,ZU]
☼	~*[,BS][,SUN]::[,DBV][,DOV][,SUNR][,DB][,DO]
☽	~*[,FQU][,MOO][,UE]::[,ULV][,UL]
☾	~[,FQUV][,MOOV][,UEV][,ULR][,FQU][,MOO][,UE][,UL]
♀	~*[,WO]::[,WF][,F][,OJ][,W]
♂	~*[,SO][,ZO]::[,M]
♔	~*[,KIN]
♕	~*[,QUE]
♖	~*[,ROO]
♗	~*[,BIS]
♘	~*[,KNI]
♙	~*[,PAW]
♚	~[,KINV][,KNIV][,KIN]
♛	~[,QUEV][,QUE]
♜	~[,ROOV][,ROO]
♝	~[,BISV][,BIS]
♞	~[,KNI]
♟	~[,PAWV][,PAW]
♠	~*[,QT][,SPA]
♡	~[,EHS][,HAV][,HHV][,LOVV][,SHS][,EH][,HA][,HEA][,HH][,LOV][,SH]
♢	~*[,AL][,DIA]::[,FYR][,FY]
♣	~*[,CLU][,SR][,TR]
♤	~*[,ST]::[,SPAV][,SPA]
♥	~*[,HA][,HH][,LOV]::[,EHR][,HEAV][,LOVF][,LOVR][,LOVS][,LOVW][,SHR][,EH][,HEA][,SH]
♦	~[,ALV][,DIAV][,AL][,DIA][,FY]
♧	~[,CLUV][,SRV][,TRV][,CLU][,SR][,TR]
♨	~*[,SPR][,WP]
✁	~*[,BD][,SCI]::[,SCIR][,SCIS]
✂	~[,BDV][,SCIV][,BD][,SCI]
✃	~[,BDR][,BD][,SCI]
✄	~[,BDS][,BD][,SCI]
✆	~[,UIR][,TEL][,UI]
✈	~*[,AIR][,FG][,FGY][,FT][,FTY][,TY][,ZT][,ZTY]::[,GYV][,GY]
✉	~*[,ENV][,PY]
✓	~*[,CHE]::[,VW][,V]
✔	~[,CHEV][,VL][,CHE][,V]
✕	~[,XXV][,X][,XX]
✖	~[,XXR][,X][,XX]
✗	~[,XXS][,X][,XX]
✘	~[,XXF][,X][,XX]
✙	~*[,CRO][,FB][,JND]::[,CROB][,CROC][,CROF][,CROL][,CROR][,CROS][,CROW][,JJF][,JK][,JNDB][,JNDC][,JNDF][,JNDL][,JNDR][,JNDS][,JNDW][,J][,JJ]
✚	~[,CROV][,FBV][,JJW][,JNDV][,CRO][,FB][,J][,JJ][,JND]
✛	~[,JJL][,CRO][,J][,JJ][,JND]
✜	~[,JJC][,CRO][,J][,JJ][,JND]
✝	~*[,XS][,YS]::[,JJB][,CRO][,J][,JJ][,JND]
✞	~[,JJK][,XSV][,YSV][,CRO][,J][,JJ][,JND][,XS][,YS]
✟	~[,XSR][,YSR][,CRO][,J][,JJ][,JND][,XS][,YS]
✠	~[,CRO][,J][,JJ][,JND]
✡	~*[,UND]::[,DS][,DSE][,STA]
✩	~[,DSF][,DS][,DSE][,STA]
✪	~[,DSW][,DS][,DSE][,STA]
✫	~[,DSL][,DS][,DSE][,STA]
✬	~[,DSC][,DS][,DSE][,STA]
✭	~[,DSB][,DS][,DSE][,STA]
✮	~[,DSK][,DS][,DSE][,STA]
✯	~[,DS][,DSE][,STA]
✰	~[,DS][,DSE][,STA]
❤	~[,EHF][,HAR][,HHR][,SHF][,EH][,HA][,HEA][,HH][,LOV][,SH]
❥	~[,EHW][,HAS][,HHS][,SHW][,EH][,HA][,HEA][,HH][,LOV][,SH]
❦	~[,EHL][,HAF][,HHF][,SHL][,EH][,HA][,HEA][,HH][,LOV][,SH]
❧	~[,HAW][,HHW][,EH][,HA][,HEA][,HH][,LOV][,SH]
❶	~[,OE]
❷	~[,OR]
❸	~[,OSR][,OS]
❹	~[,OFR][,OF]
❺	~[,OWR][,OW]
❻	~[,OLR][,OL]
❼	~[,OCR][,OC]
❽	~[,OBR][,OB]
❾	~[,OKR][,OK]
❿	~[,OEO][,OJ]
➀	~[,OE]
➁	~[,OR]
➂	~[,OSS][,OS]
➃	~[,OFS][,OF]
➄	~[,OWS][,OW]
➅	~[,OLS][,OL]
➆	~[,OCS][,OC]
➇	~[,OBS][,OB]
➈	~[,OKS][,OK]
➉	~[,OEO][,OJ]
➊	~[,OE]
➋	~[,OR]
➌	~[,OSF][,OS]
➍	~[,OFF][,OF]
➎	~[,OWF][,OW]
➏	~[,OLF][,OL]
➐	~[,OCF][,OC]
➑	~[,OBF][,OB]
➒	~[,OKF][,OK]
➓	~[,OEO][,OJ]
、	~*[VV][']::[,'F][,.C][,.][,']
。	~*[.]::[,.W][,O][,.]
〃	~[,PPR][,PP][,RP]
〄	~*[,JIS][,OJI]
々	~*[,KA][,KAA][,NA][,NAA]::[,KAV][,NAV][KAAS][KAAW][NAAR][KAA][NAA]
〆	~[,XK][,XR][,L][,X]
〇	~[O][,O]
〈	~[,,][,[][[]
〉	~[,.R][,.][,]][]]
《	~*[,,,]::[,[[F][,[[L][[[F][[[L][,,][,[[][[[]
》	~[,..V][..C][,..][,]]][..][]]]
「	~*[,,][,[][[]
」	~*[,V][,,V][,]][]]
『	~*[,[[][[[]
』	~*[,]]][]]]
【	~[,[[R][[[R][,DG][,[][,[[][[][[[]
】	~*[,DGG]::[,DG][,]][,]]][]][]]]
〒	~*[,POS][,RII]::[,POSR][,RIS][,RI]
〓	~[,RE]
〔	~[,G][,[]
〕	~[,GG][,]]
〖	~[,G][,[]
〗	~[,GG][,]]
〝	~*[,NN]::[''V][,''R][,'']['']
〞	~*[,PP]::['''V][,''S][,PPV][,''][''']
〠	~*[,RIV]::[,POS]
〢	~[,RL][,R]
〣	~[,SIR][,SI]
〤	~[,XW][,X]
〦	~[,L]
〶	~*[,ORI]::[,POSV][,POS]
ぁ	~*[AV,][XA,]::[A,][LA,]
あ	~*[A,]
ぃ	~*[IV,][XI,][LYI,][XYI,]::[I,][LI,]
い	~*[I,]
ぅ	~*[UV,][WUV,][XU,]::[LU,][U,][WU,]
う	~*[U,][WU,]
ぇ	~*[EV,][XE,][LYE,][XYE,]::[E,][LE,]
え	~*[E,]
ぉ	~*[OV,][XO,]::[LO,][O,]
お	~*[O,]
か	~*[KA,]
が	~*[GA,]
き	~*[KI,]
ぎ	~*[GI,]
く	~*[KU,]
ぐ	~*[GU,]
け	~*[KE,]
げ	~*[GE,]
こ	~*[KO,]
ご	~*[GO,]
さ	~*[SA,]
ざ	~*[ZA,]
し	~*[CI,][SHI,][SI,]
じ	~*[JI,][ZI,]
す	~*[SU,]
ず	~*[ZU,]
せ	~*[SE,]
ぜ	~*[ZE,]
そ	~*[SO,]
ぞ	~*[ZO,]
た	~*[TA,]
だ	~*[DA,]
ち	~*[CHI,][TI,]
ぢ	~*[DI,][ZIV,]::[JI,][ZI,]
っ	~*[KK,][SS,][TT,][TUV,][TV,][XTU,][LTU,]::[TSU,][TU,]
つ	~*[TSU,][TU,]
づ	~*[DU,][ZUV,]::[ZU,]
て	~*[TE,]
で	~*[DE,]
と	~*[TO,]
ど	~*[DO,]
な	~*[NA,]
に	~*[NI,]
ぬ	~*[NU,]
ね	~*[NE,]
の	~*[NO,]
は	~*[HA,]::[WA,]
ば	~*[BA,]
ぱ	~*[PA,]
ひ	~*[HI,]
び	~*[BI,]
ぴ	~*[PI,]
ふ	~*[FU,][HU,]
ぶ	~*[BU,]
ぷ	~*[PU,]
へ	~*[HE,]::[E,]
べ	~*[BE,]
ぺ	~*[PE,]
ほ	~*[HO,]
ぼ	~*[BO,]
ぽ	~*[PO,]
ま	~*[MA,]
み	~*[MI,]
む	~*[MU,]
め	~*[ME,]
も	~*[MO,]
ゃ	~*[XYA,][YAV,][LYA,]::[YA,]
や	~*[YA,]
ゅ	~*[XYU,][YUV,][LYU,]::[YU,]
ゆ	~*[YU,]
ょ	~*[XYO,][YOV,][LYO,]::[YO,]
よ	~*[YO,]
ら	~*[LA,][RA,]
り	~*[LI,][RI,]
る	~*[LU,][RU,]
れ	~*[LE,][RE,]
ろ	~*[LO,][RO,]
ゎ	~*[WAV,][XWA,][LWA,]::[WA,]
わ	~*[WA,]
ゐ	~*[WI,]::[I,]
ゑ	~*[WE,]::[E,]
を	~*[WO,]::[O,]
ん	~*[MN,][M,][NG,][NN,][N,]
ゔ	~*[VU,]
ゝ	~[,.L][,.]
ゞ	~[,MF][,SAV][,M][,SA]
ァ	~*[AV.][XA.]::[A.][LA.]
ア	~*[A.]
ィ	~*[IV.][XI.][LYI.][XYI.]::[I.][LI.]
イ	~*[I.]
ゥ	~*[UV.][WUV.][XU.]::[LU.][U.][WU.]
ウ	~*[U.][WU.]
ェ	~*[EV.][XE.][LYE.][XYE.]::[E.][LE.]
エ	~*[E.]
ォ	~*[OV.][XO.]::[LO.][O.]
オ	~*[O.]
カ	~*[KA.]
ガ	~*[GA.]
キ	~*[KI.]
ギ	~*[GI.]
ク	~*[KU.]
グ	~*[GU.]
ケ	~*[KE.]
ゲ	~*[GE.]
コ	~*[KO.]
ゴ	~*[GO.]
サ	~*[SA.]
ザ	~*[ZA.]
シ	~*[CI.][SHI.][SI.]
ジ	~*[JI.][ZI.]
ス	~*[SU.]
ズ	~*[ZU.]
セ	~*[SE.]
ゼ	~*[ZE.]
ソ	~*[SO.]
ゾ	~*[ZO.]
タ	~*[TA.]
ダ	~*[DA.]
チ	~*[CHI.][TI.]
ヂ	~*[DI.][ZIV.]::[JI.][ZI.]
ッ	~*[KK.][SS.][TT.][TUV.][TV.][XTU.][LTU.]::[TSU.][TU.]
ツ	~*[TSU.][TU.]
ヅ	~*[DU.][ZUV.]::[ZU.]
テ	~*[TE.]
デ	~*[DE.]
ト	~*[TO.]
ド	~*[DO.]
ナ	~*[NA.]
ニ	~*[NI.]
ヌ	~*[NU.]
ネ	~*[NE.]
ノ	~*[NO.]
ハ	~*[HA.]::[WA.]
バ	~*[BA.]
パ	~*[PA.]
ヒ	~*[HI.]
ビ	~*[BI.]
ピ	~*[PI.]
フ	~*[FU.][HU.]
ブ	~*[BU.]
プ	~*[PU.]
ヘ	~*[HE.]::[E.]
ベ	~*[BE.]
ペ	~*[PE.]
ホ	~*[HO.]
ボ	~*[BO.]
