$	~*[,DOL][,SIS][,SI]
⒒	~*[,EE.]*[,JE.]
⒓	~*[,ER.]*[,JR.]
⒔	~*[,ES.]*[,JS.]
⒕	~*[,EF.]*[,JF.]
⒖	~*[,EW.]*[,JW.]
⒗	~*[,EL.]*[,JL.]
⒘	~*[,EC.]*[,JC.]
⒙	~*[,EB.]*[,JB.]
⒚	~*[,EK.]*[,JK.]
⒛	~*[,RJ.]*[,RO.]
⒜	~*[,GA]
⒝	~[,GBR][,GB]
⒞	~[,GCR][,GC]
⒟	~*[,GD]
⒠	~[,GE]
⒡	~[,GFR][,GF]
⒢	~[,GG]
⒣	~*[,GH]
⒤	~[,GIV][,GI]
⒥	~[,GJ]
⒦	~[,GKR][,GK]
⒧	~[,GLR][,GL]
⒨	~*[,GM]
⒩	~*[,GN]
⒪	~[,GOV][,GO]
⒫	~[,GPV][,GP]
⒬	~*[,GQ]
⒭	~[,GR]
⒮	~[,GSR][,GS]
⒯	~*[,GT]
⒰	~*[,GU]
⒱	~[,GVC][,GV]
⒲	~[,GWR][,GW]
⒳	~*[,GX]
⒴	~*[,GY]
⒵	~*[,GZ]
Ⓐ	~[,OAR][,OA]
Ⓑ	~[,OBW][,OB]
Ⓒ	~[,OCL][,OC]
Ⓓ	~*[,OD]
Ⓔ	~[,OE]
Ⓕ	~[,OFL][,OF]
Ⓖ	~*[,OG]
Ⓗ	~*[,OH]
Ⓘ	~*[,OI]
Ⓙ	~[,OJ]
Ⓚ	~[,OKW][,OK]
Ⓛ	~[,OL]
Ⓜ	~*[,OM]
Ⓝ	~*[,ON]
Ⓞ	~[,OOL][,OO]
Ⓟ	~*[,OP]
Ⓠ	~*[,OQ]
Ⓡ	~[,ORW][,OR]
Ⓢ	~[,OSW][,OS]
Ⓣ	~*[,OT]
Ⓤ	~*[,OU]
Ⓥ	~*[,OV]
Ⓦ	~[,OWW][,OW]
Ⓧ	~*[,OX]
Ⓨ	~*[,OY]
Ⓩ	~*[,OZ]
ⓐ	~[,OAS][,OA]
ⓑ	~[,OBL][,OB]
ⓒ	~[,OCC][,OC]
ⓓ	~[,ODV][,OD]
ⓔ	~[,OE]
ⓕ	~[,OFC][,OF]
ⓖ	~[,OGV][,OG]
ⓗ	~[,OHV][,OH]
ⓘ	~[,OIV][,OI]
ⓙ	~[,OJ]
ⓚ	~[,OKL][,OK]
ⓛ	~[,OLL][,OL]
ⓜ	~[,OMV][,OM]
ⓝ	~[,ONV][,ON]
ⓞ	~[,OOC][,OO]
ⓟ	~[,OPV][,OP]
ⓠ	~*[.OQ]
ⓡ	~[,ORL][,OR]
ⓢ	~[,OSL][,OS]
ⓣ	~[,OTV][,OT]
ⓤ	~[,OUV][,OU]
ⓥ	~[,OVV][,OV]
ⓦ	~[,OWL][,OW]
ⓧ	~[,OXV][,OX]
ⓨ	~[,OY]
ⓩ	~[,OZV][,OZ]
⓪	~*[,OO]
─	~[,EB][,EEF][,EF][,E][,EE]
━	~[,EW][,E]
╭	~[,QV][,Q]
╮	~[,QR][,Q]
╯	~[,QF][,Q]
╰	~[,QS][,Q]
■	~*[,FF][,FNV][,OOW][,FN][,OO]
□	~*[,FN][,OOR][,OO]
▲	~[,SNR][,SN]
△	~*[,SN]
▼	~[,SNS][,SN]
▽	~[,SNV][,SN]
◆	~[,FFV][,FNS][,FF][,FN]
◇	~[,FNR][,FN]
○	~[,O]
◎	~[,OOF][,OO]
●	~[,O]
☀	~[,BSR][,DBF][,DOS][,BS][,DB][,DO][,SUN]
☄	~*[,COM]*[,WD][,OS]
★	~*[,STA][,DSEV][,DSS][,STAB][,STAC][,STAF][,STAK][,STAL][,STAR][,STAS][,STAW][,DS][,DSE]
☆	~*[,DSE][,DSEB][,DSEC][,DSEF][,DSEK][,DSEL][,DSER][,DSES][,DSEW][,DSR][,STAV][,DS][,STA]
☉	~[,BSV][,DBS][,DOR][,SUNV][,BS][,DB][,DO][,SUN]
☎	~[,TELV][,UIV][,TEL][,UI]
☏	~[,UIR][,TEL][,UI]
☚	~*[,HJ][,PXS][,XIV][,PX][,XI]
☛	~*[,XO][,HJV][,PXF][,HJ][,PX]
☜	~[,HJR][,PXW][,XIR][,HJ][,PX][,XI]
☝	~[,FEV][,HJS][,PFV][,FE][,HJ][,PF]
☞	~[,HJF][,PXL][,XOV][,HJ][,PX][,XO]
☟	~[,FAV][,HJW][,PFR][,FA][,HJ][,PF]
☩	~[,CRO][,J][,JJ][,JND]
☮	~*[,HP]*[,PEA][,OSC][,OS]
☯	~*[,BB]*[,BY]*[,DT]*[,OBB]*[,ODU]*[,OSA]*[,OSB]*[,OS.]*[,OYY]*[,YIN]*[,YY][,OSAR]
☰	~*[,EEE]*[,HEA][,BYV][,HEAF][,HEAL][,HEAR][,HEAS][,HEAW][,BY]
☱	~*[,LAK]*[,REE][,BYR][,BY]
☲	~*[,ERE]*[,FIR][,BYS][,BY]
☳	~*[,RRE]*[,THU][,BYF][,BY]
☴	~*[,EER]*[,WIN][,BYW][,BY]
☵	~*[,RER]*[,WAT][,BYL][,BY]
☶	~*[,ERR]*[,MOU][,BYC][,BY]
☷	~*[,EAR]*[,RRR][,BYB][,BY]
☹	~*[,FAC]*[,OBN]*[,OOA]*[,OOD]*[,UAB]*[,UAO][,FACR][,OUR][,UABR][,UAOR][,OU]
☺	~*[,OBU]*[,ZED]*[,ZGN]*[,ZU][,FACV][,UABV][,UAOV][,FAC][,UAB][,UAO]
☻	~[,OBUV][,ZEDV][,ZGNV][,ZUV][,FAC][,OBU][,UAB][,UAO][,ZED][,ZGN][,ZU]
☼	~*[,BS]*[,SUN][,DBR][,DOV][,SUNR][,DB][,DO]
☽	~*[,FQU]*[,MOO]*[,UE][,ULV][,UL]
☾	~[,FQUV][,MOOV][,UEV][,ULR][,FQU][,MOO][,UE][,UL]
♀	~*[,WO][,WS][,F][,OJ][,W]
♂	~*[,M]*[,SO]*[,ZO]
♔	~*[,KIN]
♕	~*[,QUE]
♖	~*[,ROO]
♗	~*[,BIS]
♘	~*[,KNI]
♙	~*[,PAW]
♚	~[,KINV][,KIN]
♛	~[,QUEV][,QUE]
♜	~[,ROOV][,ROO]
♝	~[,BISV][,BIS]
♞	~[,KNIV][,KNI]
♟	~[,PAWV][,PAW]
♠	~*[,QT]*[,SPA]
♡	~[,EHV][,HAV][,HHV][,LOVV][,SHV][,EH][,HA][,HEA][,HH][,LOV][,SH]
♢	~*[,AL]*[,DIA][,FYV][,FY]
♣	~*[,CLU]*[,SR]*[,TR]
♤	~*[,ST][,SPAV][,SPA]
♥	~*[,EH]*[,HA]*[,HH]*[,LOV]*[,SH][,HEAV][,LOVF][,LOVR][,LOVS][,LOVW][,HEA]
♦	~[,ALV][,DIAV][,FYR][,AL][,DIA][,FY]
♧	~[,CLUV][,SRV][,TRV][,CLU][,SR][,TR]
♨	~*[,SPR]*[,WP]
✁	~*[,BD]*[,SCI][,SCIR][,SCIS]
✂	~[,BDV][,SCIV][,BD][,SCI]
✃	~[,BDR][,BD][,SCI]
✄	~[,BDS][,BD][,SCI]
✆	~[,UIS][,TEL][,UI]
✈	~*[,AIR]*[,FG]*[,FGY]*[,FT]*[,FTY]*[,TY]*[,ZT]*[,ZTY][,GYV][,GY]
✉	~*[,ENV]*[,PY]
✓	~*[,CHE][,VF][,V]
✔	~[,CHEV][,VW][,CHE][,V]
✕	~[,XXR][,X][,XX]
✖	~[,XXS][,X][,XX]
✗	~[,XW][,XXF][,X][,XX]
✘	~[,XL][,XXW][,X][,XX]
✙	~*[,CRO]*[,FB]*[,JND][,CROB][,CROC][,CROF][,CROL][,CROR][,CROS][,CROW][,JF][,JJF][,JNDB][,JNDC][,JNDF][,JNDL][,JNDR][,JNDS][,JNDW][,J][,JJ]
✚	~[,CROV][,FBV][,JJW][,JNDV][,JW][,CRO][,FB][,J][,JJ][,JND]
✛	~[,JJL][,JL][,CRO][,J][,JJ][,JND]
✜	~[,JC][,JJC][,CRO][,J][,JJ][,JND]
✝	~*[,XS]*[,YS][,JB][,JJB][,CRO][,J][,JJ][,JND]
✞	~[,JJK][,JK][,XSV][,YSV][,CRO][,J][,JJ][,JND][,XS][,YS]
✟	~[,XSR][,YSR][,CRO][,J][,JJ][,JND][,XS][,YS]
✠	~[,CRO][,J][,JJ][,JND]
✡	~*[,UND][,DS][,DSE][,STA]
✩	~[,DSF][,DS][,DSE][,STA]
✪	~[,DSW][,DS][,DSE][,STA]
✫	~[,DSL][,DS][,DSE][,STA]
✬	~[,DSC][,DS][,DSE][,STA]
✭	~[,DSB][,DS][,DSE][,STA]
✮	~[,DSK][,DS][,DSE][,STA]
✯	~[,DS][,DSE][,STA]
✰	~[,DS][,DSE][,STA]
❤	~[,EHR][,HAR][,HHR][,SHR][,EH][,HA][,HEA][,HH][,LOV][,SH]
❥	~[,EHS][,HAS][,HHS][,SHS][,EH][,HA][,HEA][,HH][,LOV][,SH]
❦	~[,EHF][,HAF][,HHF][,SHF][,EH][,HA][,HEA][,HH][,LOV][,SH]
❧	~[,EHW][,HAW][,HHW][,SHW][,EH][,HA][,HEA][,HH][,LOV][,SH]
❶	~[,OE]
❷	~[,OR]
❸	~[,OSR][,OS]
❹	~[,OFR][,OF]
❺	~[,OWR][,OW]
❻	~[,OLR][,OL]
❼	~[,OCR][,OC]
❽	~[,OBR][,OB]
❾	~[,OKR][,OK]
❿	~[,OEO][,OJ]
➀	~[,OE]
➁	~[,OR]
➂	~[,OSS][,OS]
➃	~[,OFS][,OF]
➄	~[,OWS][,OW]
➅	~[,OLS][,OL]
➆	~[,OCS][,OC]
➇	~[,OBS][,OB]
➈	~[,OKS][,OK]
➉	~[,OEO][,OJ]
➊	~[,OE]
➋	~[,OR]
➌	~[,OSF][,OS]
➍	~[,OFF][,OF]
➎	~[,OWF][,OW]
➏	~[,OLF][,OL]
➐	~[,OCF][,OC]
➑	~[,OBF][,OB]
➒	~[,OKF][,OK]
➓	~[,OEO][,OJ]
、	~*[VV]*[][,'F][,.][,']
。	~*[.][,.R][,.]
〄	~*[,JIS]*[,OJI]
々	~*[,KA]*[,KAA]*[,NA]*[,NAA][,NAV][KAAS][NAAR][KAA][NAA]
〆	~[,XR][,L][,X]
〇	~*[O][,O]
〈	~[,,][,[]
〉	~[,.L][,.][,]]
《	~*[,,,][,[[F][,[[L][[[F][[[L][,,][,[[][[[]
》	~*[,..][,..V][..C][,]]][..][]]]
「	~*[,,]*[,[]*[[]
」	~*[,V]*[,,V]*[,]]*[]]
『	~*[,[[]*[[[]
』	~*[,]]]*[]]]
【	~[,[[R][[[R][,[][,[[][[][[[]
】	~[,]][,]]][]][]]]
〒	~*[,POS]*[,RI]*[,RII][,POSR]
〔	~[,[]
〕	~[,]]
〜	~[,S]
〝	~[''V][,''R][,''][']
〞	~['''V][,''S][,'']['']
〠	~*[,RIV][,POS]
〶	~*[,ORI][,POSV][,POS]
ぁ	~*[AV,]*[XA,][A,V][A,][LA,]
あ	~*[A,]
ぃ	~*[IV,]*[XI,]*[LYI,]*[XYI,][I,V][I,][LI,]
い	~*[I,]
ぅ	~*[UV,]*[WUV,]*[XU,][U,V][WU,V][LU,][U,][WU,]
う	~*[U,]*[WU,]
ぇ	~*[EV,]*[XE,]*[LYE,]*[XYE,][E,V][E,][LE,]
え	~*[E,]
ぉ	~*[OV,]*[XO,][O,V][LO,][O,]
お	~*[O,]
か	~*[KA,]
が	~*[GA,]
き	~*[KI,]
ぎ	~*[GI,]
く	~*[KU,]
ぐ	~*[GU,]
け	~*[KE,]
げ	~*[GE,]
こ	~*[KO,]
ご	~*[GO,]
さ	~*[SA,]
ざ	~*[ZA,]
し	~*[CI,]*[SHI,]*[SI,]
じ	~*[JI,]*[ZI,]
す	~*[SU,]
ず	~*[ZU,]
せ	~*[SE,]
ぜ	~*[ZE,]
そ	~*[SO,]
ぞ	~*[ZO,]
た	~*[TA,]
だ	~*[DA,]
ち	~*[CHI,]*[TI,]
ぢ	~*[DI,]*[ZIV,][JI,V][ZI,V][JI,][ZI,]
っ	~*[KK,]*[SS,]*[TT,]*[TUV,]*[TV,]*[XTU,]*[LTU,][TSUV][TSU,V][TU,V][TSU,][TU,]
つ	~*[TSU,]*[TU,]
づ	~*[DU,]*[ZUV,][ZU,V][ZU,]
て	~*[TE,]
で	~*[DE,]
と	~*[TO,]
ど	~*[DO,]
な	~*[NA,]
に	~*[NI,]
ぬ	~*[NU,]
ね	~*[NE,]
の	~*[NO,]
は	~*[HA,][WA,R][WA,]
ば	~*[BA,]
ぱ	~*[PA,]
ひ	~*[HI,]
び	~*[BI,]
ぴ	~*[PI,]
ふ	~*[FU,]*[HU,]
ぶ	~*[BU,]
ぷ	~*[PU,]
へ	~*[HE,][E,S][E,]
べ	~*[BE,]
ぺ	~*[PE,]
ほ	~*[HO,]
ぼ	~*[BO,]
ぽ	~*[PO,]
ま	~*[MA,]
み	~*[MI,]
む	~*[MU,]
め	~*[ME,]
も	~*[MO,]
ゃ	~*[XYA,]*[YAV,]*[LYA,][YA,V][YA,]
や	~*[YA,]
ゅ	~*[XYU,]*[YUV,]*[LYU,][YU,V][YU,]
ゆ	~*[YU,]
ょ	~*[XYO,]*[YOV,]*[LYO,][YO,V][YO,]
よ	~*[YO,]
ら	~*[LA,]*[RA,]
り	~*[LI,]*[RI,]
る	~*[LU,]*[RU,]
れ	~*[LE,]*[RE,]
ろ	~*[LO,]*[RO,]
ゎ	~*[WAV,]*[XWA,]*[LWA,][WA,V][WA,]
わ	~*[WA,]
ゐ	~*[WI,][I,R][I,]
ゑ	~*[WE,][E,R][E,]
を	~*[WO,][O,R][O,]
ん	~*[MN,]*[M,]*[NG,]*[NN,]*[N,]
ゔ	~*[VU,]
ァ	~*[AV.]*[XA.][A.V][A.][LA.]
ア	~*[A.]
ィ	~*[IV.]*[XI.]*[LYI.]*[XYI.][I.V][I.][LI.]
イ	~*[I.]
ゥ	~*[UV.]*[WUV.]*[XU.][U.V][WU.V][LU.][U.][WU.]
ウ	~*[U.]*[WU.]
ェ	~*[EV.]*[XE.]*[LYE.]*[XYE.][E.V][E.][LE.]
エ	~*[E.]
ォ	~*[OV.]*[XO.][O.V][LO.][O.]
オ	~*[O.]
カ	~*[KA.]
ガ	~*[GA.]
キ	~*[KI.]
ギ	~*[GI.]
ク	~*[KU.]
グ	~*[GU.]
ケ	~*[KE.]
ゲ	~*[GE.]
コ	~*[KO.]
ゴ	~*[GO.]
サ	~*[SA.]
ザ	~*[ZA.]
シ	~*[CI.]*[SHI.]*[SI.]
ジ	~*[JI.]*[ZI.]
ス	~*[SU.]
ズ	~*[ZU.]
セ	~*[SE.]
ゼ	~*[ZE.]
ソ	~*[SO.]
ゾ	~*[ZO.]
タ	~*[TA.]
ダ	~*[DA.]
チ	~*[CHI.]*[TI.]
ヂ	~*[DI.]*[ZIV.][JI.V][ZI.V][JI.][ZI.]
ッ	~*[KK.]*[SS.]*[TT.]*[TUV.]*[TV.]*[XTU.]*[LTU.][TSU.V][TSUVV][TU.V][TSUV][TSU.][TU.]
ツ	~*[TSU.]*[TU.]
ヅ	~*[DU.]*[ZUV.][ZU.V][ZU.]
テ	~*[TE.]
デ	~*[DE.]
ト	~*[TO.]
ド	~*[DO.]
ナ	~*[NA.]
ニ	~*[NI.]
ヌ	~*[NU.]
ネ	~*[NE.]
ノ	~*[NO.]
ハ	~*[HA.][WA.R][WA.]
バ	~*[BA.]
パ	~*[PA.]
ヒ	~*[HI.]
ビ	~*[BI.]
ピ	~*[PI.]
フ	~*[FU.]*[HU.]
ブ	~*[BU.]
プ	~*[PU.]
ヘ	~*[HE.][E.S][E.]
ベ	~*[BE.]
ペ	~*[PE.]
ホ	~*[HO.]
ボ	~*[BO.]
ポ	~*[PO.]
マ	~*[MA.]
ミ	~*[MI.]
ム	~*[MU.]
メ	~*[ME.]
モ	~*[MO.]
ャ	~*[XYA.]*[YAV.]*[LYA.][YA.V][YA.]
ヤ	~*[YA.]
ュ	~*[XYU.]*[YUV.]*[LYU.][YU.V][YU.]
ユ	~*[YU.]
ョ	~*[XYO.]*[YOV.]*[LYO.][YO.V][YO.]
ヨ	~*[YO.]
ラ	~*[LA.]*[RA.]
リ	~*[LI.]*[RI.]
ル	~*[LU.]*[RU.]
レ	~*[LE.]*[RE.]
ロ	~*[LO.]*[RO.]
ヮ	~*[WAV.]*[XWA.]*[LWA.][WA.V][WA.]
ワ	~*[WA.]
ヰ	~*[WI.][I.R][I.]
ヱ	~*[WE.][E.R][E.]
ヲ	~*[WO.][O.R][O.]
ン	~*[MN.]*[M.]*[NG.]*[NN.]*[N.]
ヴ	~*[VU.]
ヵ	~*[GAV.]*[KAV.]*[XKA.]*[LKA.][GA.V][GA.]
ヶ	~*[GEV.]*[KEV.]*[XKE.]*[LKE.][GE.V][GE.]
ヷ	~*[VA.]
ヸ	~*[VI.]
ヹ	~*[VE.]
ヺ	~*[VO.]
・	~*[,.]*[.V][,.S][.]
ー	~*[EE,]*[EE.]
ㄪ	~[,VS]
ㄫ	~*[,ERL]*[,NG][,ERV][,ER]
ㄬ	~[,GNR][,LPV]
㆒	~[,E]
㆓	~[,R]
㆔	~[,SW][,S]
㆕	~[,F]
㆖	~*[,FE]
㆗	~*[,CI]*[,CJ]
㆘	~*[,FA]
㆙	~*[,QI]
㆚	~[,ZLV][,ZZV][,ZL][,ZZ]
㆛	~*[,ENB]
㆜	~*[,TI]
㆝	~*[,ED]*[,EDN]*[,GNN][,GNV][,GN]
㆞	~*[,YA]*[,YAL]
㆟	~*[,BN]
㈠	~[,GEV][,GE]
㈡	~[,GR]
㈢	~[,GSV][,GS]
㈣	~[,GFV][,GF]
㈤	~[,GWV][,GW]
㈥	~[,GLV][,GL]
㈦	~[,GCV][,GC]
㈧	~[,GBV][,GB]
㈨	~[,GKV][,GK]
㈩	~*[,GO][,GJV][,GJ]
㈪	~*[,GUE]
㈫	~*[,GFN]
㈬	~*[,GWN]
㈭	~*[,GTN]
㈮	~*[,GAE]
㈯	~*[,GYE]
㈰	~*[,GDO]
㈱	~*[,GTS][,GTSV]
㈲	~*[,GXU]
㈳	~*[,GRS]*[,GRY]
㈴	~*[,GCO]
㈵	~*[,GSA]*[,GSY]
㈶	~*[,GMB]*[,GMU]
㈷	~*[,GRR][,GRSV][,GRS]
㈸	~*[,GSD]*[,GSN]
㈹	~*[,GPX][,GPAV][,GPA]
㈺	~*[,GOH]
㈻	~*[,GSZ][,GSNV][,GSN]
㈼	~*[,GRF]*[,GRV]
㈽	~*[,GBZ]
㈾	~*[,GBB]*[,GBI]
㈿	~*[,GJD]
㉀	~*[,GJA][,GJRV][,GJR]
㉁	~*[,GPT]
㉂	~*[,GPM]
㉃	~*[,GPE]
㉿	~*[,OKE][,OEKV][,OKC][,OEK][,OK]
㊀	~[,OEV][,OE]
㊁	~[,OR]
㊂	~[,OSV][,OS]
㊃	~[,OF]
㊄	~[,OWV][,OW]
㊅	~[,OLV][,OL]
㊆	~[,OCV][,OC]
㊇	~[,OBV][,OB]
㊈	~[,OKV][,OK]
㊉	~[,OEOV][,OJV][,OEO][,OJ]
㊊	~*[,OUE]
㊋	~*[,OFN]
㊌	~*[,OWN]
㊍	~*[,OTN]
㊎	~*[,OAE]
㊏	~*[,OYE]*[,OYV]
㊐	~*[,ODO]
㊑	~*[,OTS]
㊒	~*[,OXU]
㊓	~*[,ORS]*[,ORY]
㊔	~*[,OCO]
㊕	~*[,OSY][,OSAV][,OSA]
㊖	~*[,OMB]*[,OMU]
㊗	~*[,ORR][,ORSV][,ORS]
㊘	~*[,OSD]*[,OSN]
㊙	~*[,OHH]*[,OHP]
㊚	~*[,OQD]
㊛	~*[,OGX]
㊜	~*[,OLN]*[,OLW]*[,OXW]
㊝	~*[,OPP]*[,OPT]
㊞	~*[,OEP]
㊟	~*[,OWA]*[,OWK]
㊠	~*[,OIB]*[,OIT]
㊡	~[,OPTV][,OPT]
㊢	~*[,ONE]*[,ONK]
㊣	~*[,OEZ]
㊤	~*[,OFE]
㊥	~[,OCIV][,OCJV][,OCI][,OCJ]
㊦	~*[,OFA]
㊧	~*[,OXI]
㊨	~*[,OXO]
㊩	~*[,OFD]*[,OFV]
㊪	~*[,ONR]*[,ONS]
㊫	~*[,OSZ][,OSNV][,OSN]
㊬	~*[,ORF]*[,ORV]
㊭	~*[,OBZ]
㊮	~*[,OBI][,OBBV][,OBB]
㊯	~*[,OJD]
㊰	~*[,OLP]*[,OLU]*[,OLX]
㋀	~*[,EUE]
㋁	~*[,RUE]
㋂	~*[,SUE]
